Company,Job Role,Stipend,Location
CollegeDunia Web Private Limited,Graphic Design,"₹ 10,000 /month",Gurgaon
Aanav Healthcare,Administration,"₹ 6,000 /month +  Incentives",Mumbai
Ally Digital Media,Graphic Design,"₹ 8,000 /month",Kolhapur
Uniqgrid,Mobile App Development,"₹ 5,000 /month",Gurgaon
Ally Digital Media,Search Engine Optimization (SEO),"₹ 8,000 /month",Pune
InAmigos Foundation,Crowdfunding,Unpaid,Work From Home
Siddi Vinayaka Creative Labs,Android App Development,"₹ 15,000 /month",Hyderabad
ESSI Integrated Technologies,"ML Engineering (MEng, PhD)","₹ 50,000 /month",Delhi
Webknot Technologies Private Limited,Business Analytics,"₹ 5,000 /month",Bangalore
Jambudweep Shodh Kendra,Election Research,"₹ 4,000-25,000 /month",Work From Home
JRB Eventz,Data Entry,"₹ 9,000-10,000 /month",Mumbai
PatilKaki,Accounting & Bookkeeping,"₹ 10,000 /month",Navi Mumbai
Quantasis Private Limited,Human Resources (HR),"₹ 8,000-12,000 /month",Mumbai
OliveBoard Comptech Private Limited,Influencer Marketing,"₹ 4,999 /month",Chennai
Aracknoid AI Solutions (Hygge),AI/ML,"₹ 5,000 /month",Jaipur
Girl Power Talk,Marketing & Communications,"₹ 4,000-8,000 /month",Work From Home
The Overseas Consultant,Accounting & Tally,"₹ 5,000-7,000 /month",Mumbai
Bollygrad Studioz,Electronic Music Composing,"₹ 10,000-15,000 /month",Work From Home
Uniqgrid,Embedded Software,"₹ 5,000 /month",Gurgaon
NayePankh Foundation,Volunteering,Unpaid,Work From Home
Uniqgrid,Full Stack Development,"₹ 5,000 /month",Gurgaon
NayePankh Foundation,Social Work,Unpaid,Work From Home
Hawk Digital Agency,Accounting,"₹ 8,000-10,000 /month",Delhi
K J Shah & Associates,Accounting & Taxation,"₹ 7,500-25,000 /month",Navi Mumbai
Websiteble Services LLP,Customer Service/Customer Support,"₹ 2,000-4,000 /month",Work From Home
NayePankh Foundation,Social Sector (Operations - Winter Internship),Unpaid,Work From Home
Bootstrap Digital Solutions,JavaScript & Google AppScript Development (Full Stack Development),"₹ 4,000-7,000 /month",Delhi
InAmigos Foundation,Virtual Volunteer,Unpaid,Work From Home
IJRDO Journal,Client Acquisition,"₹ 12,000-16,000 /month",Panchkula
SND DIGITAL RETAILS LLP (StarAndDaisy),Marketing,"₹ 15,000-20,000 /month",Ghaziabad
Vamo Systems Private Limited,Marketing,"₹ 10,000 /month",Tamil Nadu
Relinns Technologies,Sales,"₹ 8,000 /month",Mohali
Relinns Technologies,Sales,"₹ 10,000 /month",Mohali
SND DIGITAL RETAILS LLP (StarAndDaisy),Business Development (Sales),"₹ 12,000-18,000 /month",Ghaziabad
Scope For Change,Social Internship Program (60 Hours),Unpaid,Delhi
Village Company,Shopify Website Development,"₹ 6,000 /month +  Incentives",Greater Noida
RD Electronics & Refrigeration,Accounting & Taxation,"₹ 5,000-14,000 /month",Bangalore
Lilac Mosaic,Hotel Management(Chef),"₹ 13,000-15,000 /month",Alwar
Bluntly Streaming,3D Human Modeling,"₹ 5,000 /month",Delhi
Stareye Media & Entertainment Private Limited,Business Development (Sales),"₹ 12,000 /month",Dehradun
The Head And Heart,Marketing,"₹ 5,000-10,000 /month",Dehradun
Stareye Media & Entertainment Private Limited,Photography,"₹ 10,000 /month",Dehradun
Langza Business Services Private Limited,Operations,"₹ 10,000-12,500 /month",Work From Home
Stareye Media & Entertainment Private Limited,Telecalling,"₹ 10,000 /month",Dehradun
Brihat Infotech Private Limited,Field Sales,"₹ 10,000 /month",Greater Noida
Zimeshare Technologies (OPC) Private Limited,Lead Generation,"₹ 10,000 /month",Noida
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Mysuru
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Jodhpur
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Cuttack
UWEAR APPAREL PVT LTD.,Business Development (Sales),"₹ 7,000 /month +  Incentives",Noida
CloudBird Digital Private Limited,Business Development (Sales),"₹ 10,000-15,000 /month",Noida
ACME SPACES PRIVATE LIMITED,Graphic Design,"₹ 5,000-10,000 /month",Faridabad
Dirghayu Fitness Pvt Ltd,Business Development (Sales),"₹ 6,000 /month +  Incentives",Noida
Indian Art Villa,Sales Coordinator,"₹ 6,000 /month",Jaipur
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Rajkot
Naveen Gouda,Social Media Management,"₹ 8,000 /month",Dombivli
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Prayagraj
Relinns Technologies,Business Development (Sales),"₹ 8,000 /month",Chandigarh
Indian Art Villa,Customer Relationship Management,"₹ 6,000 /month",Jaipur
Jarvics Technologies,PHP Development,"₹ 7,000-12,000 /month",Chandigarh
Utkarsh Singh - Velenosa,Administration,"₹ 3,000 /month +  Incentives",Jabalpur
Guruji Astro,Inside Sales,"₹ 8,000-10,000 /month",Jaipur
OpeninApp,Campus Ambassador,Performance Based,Work From Home
Inari Shines,Campus Ambassador,Performance Based,Work From Home
Careers360,Campus Ambassador,Performance Based,Work From Home
PRAGYASHAL PRIVATE LIMITED,Campus Ambassador,Performance Based,Work From Home
Infoware,Search Engine Optimization (SEO),"₹ 5,000-7,000 /month",Ahmedabad
Infoware,Business Development (Sales),"₹ 6,000-8,000 /month",Ahmedabad
Careerx Counsellingzen (OPC) Private Limited (CareerBanao),Admission Counselor/Telecounselor,"₹ 2,000 /month",Noida
Adzdrio,Inside Sales,"₹ 12,000 /month",Noida
Fabulous Media Private Limited,Video Editing/Making,"₹ 5,000-15,000 /month",Gurgaon
ARBIS WEALTH PRIVATE LIMITED,Media & Public Relations (PR),"₹ 7,000 /month",Navi Mumbai
Techvins Software Private Limited,Content Writing,"₹ 8,000 /month",Gurgaon
The Souled Store,Merchandising,"₹ 10,000 /month",Mumbai
Photom Technologies Private Limited,Business Development (Sales),"₹ 10,000-15,000 /month",Ahmedabad
Redicine Medsol,Social Media Marketing,"₹ 7,000 /month",Ahmedabad
FlowTrack,Inside Sales,"₹ 8,000 /month +  Incentives",Mumbai
Anteelo Design Private Limited,Business Development (Sales),"₹ 6,000-8,000 /month",Delhi
Zimeshare Technologies (OPC) Private Limited,Social Media Marketing,"₹ 10,000 /month",Noida
ELead Solution,Digital Marketing,"₹ 8,000-12,000 /month",Noida
Guruji Astro,Operations,"₹ 8,000-12,000 /month",Jaipur
99isolutions,Content Writing,"₹ 10,000 /month",Jaipur
Viable Recommerce India Private Limited,International Business Development,"₹ 15,000 /month",Ahmedabad
Gigde Global Solutions Private Limited,Social Media Marketing,"₹ 15,000 /month",Ghaziabad
YO FRUITS,Media & Public Relations (PR),"₹ 5,000 /month",Bhubaneswar
Zimeshare Technologies (OPC) Private Limited,Community Management,"₹ 10,000 /month",Noida
Bollygrad Studioz,Video Editing/Making,"₹ 7,000-15,000 /month",Work From Home
Adisri Publications Private Limited,Business Development (Sales),"₹ 7,000 /month",Noida
Requin Solutions Private Limited,Marketing,"₹ 10,000-12,000 /month",Jaipur
Requin Solutions Private Limited,Business Development Associate (Female),"₹ 10,000-12,000 /month",Jaipur
Guruji Astro,Content Writing,"₹ 8,000-10,000 /month",Jaipur
Red Art Works (Raw Workspace Solutions Private Limited),Operations,"₹ 10,000 /month",Jaipur
Property Builder,Business Development (Sales),"₹ 5,000-10,000 /month",Bhopal
GoMechanic,Video Editing/Making,"₹ 10,000 /month",Gurgaon
InTake Media,Video Editing/Making,"₹ 6,200-9,100 /month",Jaipur
IJRDO Journal,Customer Service/Customer Support,"₹ 12,000-15,000 /month",Gurgaon
InstaAstro,Content Writing,"₹ 10,000 /month",Noida
Akrati Jewels Incorporation,Digital Marketing,"₹ 10,000 /month",Jaipur
Tech Analogy,Business Development (Sales),"₹ 15,000-20,000 /month",Ahmedabad
Unimonks,Humanities,"₹ 5,000-11,000 /month",Delhi
Digi-ninja Private Limited,Search Engine Optimization (SEO) (Female Only),"₹ 10,000 /month",Noida
Stirring Minds,Telecalling,"₹ 10,000-20,000 /month",Delhi
The Head And Heart,Marketing,"₹ 5,000-10,000 /month",Delhi
Walnut Publication,Business Development (Sales),"₹ 5,000 /month +  Incentives",Bhubaneswar
BookMyShow,Business Development - Stream,"₹ 7,500 /month",Mumbai
MGrow Education,Field Sales,"₹ 15,000 /month +  Incentives",Delhi
Crave Hermit Production,Graphic Design,"₹ 6,000 /month +  Incentives",Patna
Designshapers,Architecture,"₹ 10,000 /month",Gurgaon
Aviation And Aerospace Skill Development Council,Business Development (Sales),"₹ 7,000 /month +  Incentives",Delhi
UrjaBox Power Technologies Private Limited,Business Development (Sales),"₹ 10,000 /month",Delhi
ASOWin,Telemarketing Executive,"₹ 9,000 /month",Noida
STEMpedia,Content Writing,"₹ 8,000-14,000 /month",Ahmedabad
Argmac,Business Development (Sales),"₹ 10,000 /month",Noida
Unimonks,Motion Graphics,"₹ 4,500-13,000 /month",Delhi
Megha Aneja,Operations,"₹ 10,000-15,000 /month",Delhi
Datasrv Technologies,Sales Consultant,"₹ 10,000 /month",Delhi
STEMpedia,Video Editing/Making,"₹ 8,000-14,000 /month",Ahmedabad
Coceptual Media,Social Media Marketing,"₹ 10,000-15,000 /month",Noida
Akrati Jewels Incorporation,Social Media Marketing,"₹ 10,000 /month",Jaipur
CloudBird Digital Private Limited,Operations,"₹ 10,000-15,000 /month",Noida
SkillCircle,Video Editing/Making,"₹ 8,000 /month",Delhi
Edgistify - OptiSupply Chain Solution Private Limited,Digital Marketing,"₹ 5,000 /month",Thane
Fabulous Media Private Limited,Digital Marketing,"₹ 5,000-15,000 /month",Gurgaon
SHLC - Sexual Harassment Law Compliance Advisory,Business Development (Sales),"₹ 5,000 /month",Delhi
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Chandigarh
DataTrained Education Private Limited,Corporate Consulting (Relations),"₹ 10,000 /month",Ghaziabad
MoLog Media & Advertising,Business Development (Sales),"₹ 15,000 /month",Gurgaon
Tring,Video Editing/Making,"₹ 11,000 /month",Mumbai
Sushant Sant,Business Strategy,"₹ 7,000 /month",Thane
MPK I - Gate Private Limited,E-Commerce Marketing,"₹ 6,000 /month +  Incentives",Delhi
BROZ MEDIA,Influencer marketing and Data management,"₹ 6,000 /month",Delhi
Saraswati Vidyamandir,General Management,"₹ 2,500-4,000 /month",Ambala
Pregrad,Program Management,"₹ 12,000-15,000 /month",Noida
UWEAR APPAREL PVT LTD.,Digital Marketing,"₹ 7,000 /month +  Incentives",Noida
GoMechanic,Marketing,"₹ 12,000 /month",Chandigarh
Fabulous Media Private Limited,Social Media Marketing,"₹ 5,000-15,000 /month",Gurgaon
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Bhubaneswar
Fabulous Media Private Limited,Search Engine Optimization (SEO),"₹ 5,000-15,000 /month",Gurgaon
Zimeshare Technologies (OPC) Private Limited,Database Building/Management,"₹ 10,000 /month",Noida
Tasuvure,Product Marketing,"₹ 15,000-25,000 /month",Delhi
Fabulous Media Private Limited,Lead Generation,"₹ 5,000-15,000 /month",Gurgaon
Atharv Realty Solutions,Digital Marketing,"₹ 8,000-10,000 /month",Gurgaon
GAMSYS Tech Private Limited,Sales,"₹ 5,000-10,000 /month",Thane
GoMechanic,Search Engine Optimization (SEO),"₹ 10,000 /month",Gurgaon
Internshala Trainings,Student Success,"₹ 18,000 /month",Gurgaon
Primary Healthtech,Business Development (Sales),"₹ 5,000-10,000 /month",Delhi
Nextup Advisors Private Limited,Social Media Marketing,"₹ 5,000 /month +  Incentives",Delhi
TAS World,Architecture,"₹ 12,000 /month",Delhi
Tasuvure,Social Media Marketing,"₹ 10,000-15,000 /month",Delhi
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Jaipur
Unimonks,Social Media Marketing,"₹ 6,000-13,000 /month",Delhi
Tasuvure,Social Media Marketing,"₹ 15,000 /month",Delhi
BookMyShow,Consumer Insights,"₹ 7,500 /month",Mumbai
SANETUR HEALTHCARE PRIVATE LIMITED,Business Development (Sales),"₹ 10,000 /month",Delhi
Ramyoz,Business Development (Sales),"₹ 6,000-10,000 /month",Ghaziabad
Argmac,Social Media Marketing,"₹ 10,000 /month",Noida
Agile Parking Solutions Private Limited,Market Research,"₹ 18,000 /month",Coimbatore
Sdreatech Private Limited,Digital Marketing,"₹ 6,000-10,000 /month",Ahmedabad
Nukkad Tales,Social Media Marketing,"₹ 10,000 /month",Delhi
Tasuvure,Customer Service/Customer Support,"₹ 10,000-20,000 /month",Delhi
Secure Strike,Business Development (Sales),"₹ 10,000-15,000 /month",Delhi
4AM Worldwide Advertising Private Limited,Event Management,"₹ 10,000 /month",Mumbai
Everstylish Lifestyle Private Limited,Content Creation,"₹ 15,000 /month",Gurgaon
Wintage Garments Private Limited,Social Media Marketing,"₹ 18,000 /month",Ghaziabad Sub-District
FIKAA,Motion Graphics,"₹ 10,000-15,000 /month",Mumbai
Talent Corner HR Services,Business Exhibition Research And Lead Generation Specialist,"₹ 20,000 lump sum",Mumbai
Talent Corner HR Services,Digital Marketing,"₹ 15,000 lump sum",Mumbai
Sahitya Sansthan Pragya Shikhar Charitable Trust,Editorial,"₹ 8,000-15,000 /month",Thane
Tech Analogy,Social Media Marketing,"₹ 5,000-8,000 /month",Ahmedabad
Snevicorp,Business Development (Sales),"₹ 10,000 /month",Mumbai
NayePankh Foundation,Social Entrepreneurship,20% of Total Amount Raised,Work From Home
FIKAA,Marketing,"₹ 8,000-12,000 /month",Mumbai
TNS Corporation,Operations (Female Only),"₹ 10,000 /month",Mumbai
The Basics Digital Solutions Private Limited,Content Writing,"₹ 5,000 /month",Indore
Prosperise Fortune LLP,Social Media Marketing,"₹ 8,000 /month",Mira Bhayandar
Zedex Info Private Limited,Business Development (Sales),"₹ 12,000 /month",Mumbai
Anteelo Design Private Limited,Operations,"₹ 5,000 /month",Delhi
Walnut Studio,Digital Marketing,"₹ 8,000-10,000 /month",Delhi
Blue Fish Designs,Social Media Marketing,"₹ 8,000-10,000 /month",Delhi
Brand Promotions India Private Limited,Social Media Marketing,"₹ 6,000 /month",Mumbai
IDZ Digital Private Limited,Digital Marketing,"₹ 8,000 /month",Mumbai
1702 Digital,Search Engine Optimization (SEO),"₹ 10,000-20,000 /month",Mumbai
Kult App,Content Writing - Beauty,"₹ 15,000 /month",Navi Mumbai
IDZ Digital Private Limited,Search Engine Optimization (SEO),"₹ 8,000 /month",Mumbai
Stareye Media & Entertainment Private Limited,Fashion Design,"₹ 8,000 /month",Dehradun
Viral Bulls Digital Soultions,Social Media Marketing,"₹ 5,000-12,000 /month",Delhi
Rocks N Wood,Digital Marketing,"₹ 8,000 /month +  Incentives",Ahmedabad
Everstylish Lifestyle Private Limited,Textile Designing (NIFT),"₹ 15,000 /month",Gurgaon
Requin Solutions Private Limited,Academic Content Writing,"₹ 10,000-12,000 /month",Jaipur
Tech Analogy,Reel Creation,"₹ 5,000 /month",Ahmedabad
Nxcar,Content Writing,"₹ 15,000 /month",Delhi
Express Rupya,Marketing,"₹ 2,000 /month",Mumbai
Tring,Brand Execution (Sales),"₹ 15,000 /month",Mumbai
Erikka India,Business Development (Sales),"₹ 15,000 /month",Noida
FIKAA,Community Management,"₹ 10,000-15,000 /month",Mumbai
Uboard India Limited,Videography/Photography,"₹ 12,000-15,000 /month",Delhi
Dolphin Ad World Private Limited,Cinematography,"₹ 10,000 /month",Delhi
Talent Corner HR Services,WhatsApp Marketing,"₹ 15,000 lump sum",Thane
The Head And Heart,Marketing,"₹ 5,000-10,000 /month",Chandigarh
VVN Enterprises Private Limited,Apparel Merchandising,"₹ 3,000 /month +  Incentives",Delhi
RAVYA CINEMATIC HOUSE PRIVATE LIMITED,Marketing,"₹ 5,000 /month",Noida
Nytarra Naturals,Business Development (Sales),"₹ 10,000 /month +  Incentives",Noida
Stareye Media & Entertainment Private Limited,Fashion Design,"₹ 6,000 /month",Noida
IDZ Digital Private Limited,Content Writing,"₹ 8,000 /month",Navi Mumbai
Fabulous Media Private Limited,Graphic Design,"₹ 5,000-15,000 /month",Gurgaon
Talent Corner HR Services,Business Development,"₹ 15,000 lump sum",Mumbai
Talent Corner HR Services,Market Research,"₹ 15,000 lump sum",Thane
Rocks N Wood,Social Media Marketing,"₹ 8,000 /month",Ahmedabad
APSK Production & Entertainment Private Limited,Photography,"₹ 5,000-10,000 /month",Vadodara
FynTune Solution Private Limited,Project Management,"₹ 12,000-18,000 /month",Thane
Village Company,Business Strategy,"₹ 6,000 /month",Greater Noida
ERP Buddies,Supply Chain Management (SCM),"₹ 15,000-20,000 /month",Ahmedabad
Unimonks,Anchoring,"₹ 4,500-8,000 /month",Delhi
Growify Digital,Website Support - Resizing,"₹ 10,000-15,000 /month",Delhi
Concept Kapda,Fashion Design,"₹ 8,000-10,000 /month",Delhi
MoLog Media & Advertising,Media & Public Relations (PR),"₹ 10,000 /month",Gurgaon
Content-Whale,Business Development (Sales),"₹ 10,000-12,000 /month",Mumbai
Levitating Gods,Business Development (Sales),"₹ 16,000 /month +  Incentives",Mumbai
DataTrained Education Private Limited,Corporate Relations,"₹ 10,000 /month",Faridabad
MPK I - Gate Private Limited,Fashion Design (Sportswear And Apparel),"₹ 6,000 /month +  Incentives",Delhi
HiWi Forex Services Limited,Graphic Design,"₹ 10,000 /month",Mumbai
W3Dev,Business Development (Sales),"₹ 8,000-11,000 /month",Noida
QuadB Tech,Graphic Design,"₹ 5,000-15,000 /month",Ludhiana
FIKAA,Graphic Design,"₹ 8,000-12,000 /month",Mumbai
IDZ Digital Private Limited,Project Management,"₹ 8,000 /month",Thane
Suitable Ai,Business Development (Sales),"₹ 10,000 /month",Delhi
Arete Elsol,Content Writing,"₹ 6,000-10,000 /month",Delhi
Digiweb Online,Social Media Marketing,"₹ 7,000 /month",Zirakpur
Daalchini Technologies,Client Servicing,"₹ 13,000 /month",Noida
Rocks N Wood,Graphic Design,"₹ 8,000 /month",Ahmedabad
Zimeshare Technologies (OPC) Private Limited,Graphic Design,"₹ 8,000 /month",Noida
Tring,Video Production/Editing,"₹ 11,000 /month",Panvel
Fafadia Tech,Content Writing,"₹ 15,000 /month",Mumbai
Medi Assist Healthcare Private Limited,Hospital Operations,"₹ 12,000 /month",Bangalore
W3Dev,Digital Marketing,"₹ 8,000-10,000 /month",Noida
Parmanand Fire & Safety Enterprises,Creative Writing,"₹ 8,000-12,000 /month",Pune
